City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,weno,7.4515,151.8468,24.97,94,100,2.57,FM,1697336554
83,mutuali,-14.8706,37.0044,23.51,59,18,1.26,MZ,1697336554
84,tarinkot,32.6268,65.8733,15.4,30,1,1.61,AF,1697336536
85,xuddur,4.1213,43.8894,23.38,85,12,5.4,SO,1697336554
86,thompson,55.7435,-97.8558,5.09,81,0,1.03,CA,1697336555
87,villa bruzual,9.3328,-69.1208,25.87,80,64,1.72,VE,1697336555
88,okhotsk,59.3833,143.3,2.29,76,100,4.01,RU,1697336555
89,ponta delgada,37.7333,-25.6667,22.4,94,75,2.57,PT,1697336556
90,udachny,66.4167,112.4,-8.34,77,11,1.6,RU,1697336444
91,constantia,44.1833,28.65,12.61,85,0,4.91,RO,1697336556
92,tura,25.5198,90.2201,24.02,72,0,0.36,IN,1697336556
93,longyearbyen,78.2186,15.6401,0.91,75,75,8.23,SJ,1697336557
94,nantucket,41.2835,-70.0995,12.21,93,100,0,US,1697336465
95,byron bay,-28.65,153.6167,30.95,45,0,3.4,AU,1697336557
96,butte,39.6499,-121.5677,21.01,46,0,0,US,1697336557
97,arraial do cabo,-22.9661,-42.0278,20.74,84,100,4.3,BR,1697336557
98,punta arenas,-53.15,-70.9167,6.06,75,0,10.29,CL,1697336365
99,liwale,-9.7667,37.9333,23.2,84,100,1.27,TZ,1697336558
100,shimoda,34.6667,138.95,17.2,80,100,2.67,JP,1697336558
101,dudinka,69.4058,86.1778,1.49,93,100,6.71,RU,1697336558
102,minas de marcona,-15.2119,-75.1103,15.29,77,88,4.17,PE,1697336559
103,olonkinbyen,70.9221,-8.7187,-2.13,86,100,9.23,SJ,1697336559
104,ancud,-41.8697,-73.8203,7.87,81,100,1.89,CL,1697336559
105,taroudant,30.4703,-8.877,22.4,42,93,0.78,MA,1697336559
106,charlottetown,46.2352,-63.1267,9.87,94,100,4.63,CA,1697336560
107,urengoy,65.9667,78.3667,1.17,97,100,1.79,RU,1697336560
108,alliance,40.9153,-81.1059,8.78,94,100,7.04,US,1697336439
109,ilhabela,-23.7781,-45.3581,19.59,92,100,5.19,BR,1697336561
110,ribeira grande,38.5167,-28.7,22.1,95,100,4.02,PT,1697336561
111,bom jesus,-9.0744,-44.3586,26.25,48,4,1.01,BR,1697336561
112,port lincoln,-34.7333,135.8667,16.96,59,97,6.97,AU,1697336561
113,tambura,5.6,27.4667,21.27,93,100,1.34,SS,1697336562
114,hue,16.4667,107.6,24.06,94,75,1.03,VN,1697336562
115,goundam,16.4145,-3.6708,30.34,14,3,3.67,ML,1697336562
116,fale old settlement,-9.3852,-171.2468,28.52,76,76,9.38,TK,1697336562
117,whitehorse,60.7161,-135.0538,9.43,67,40,8.75,CA,1697336414
118,kaliganj,23.4095,89.1402,25.87,69,0,0.96,BD,1697336563
119,ca mau,9.1769,105.15,28.72,80,100,3.39,VN,1697336563
120,lebu,-37.6167,-73.65,9.71,78,13,7.71,CL,1697336563
121,manaure,11.7751,-72.4445,29.14,80,12,6.03,CO,1697336563
122,saldanha,-33.0117,17.9442,18.03,74,100,4.31,ZA,1697336564
123,aketi,2.7388,23.7833,22.15,100,100,1.35,CD,1697336564
124,verkhnedneprovskiy,54.9813,33.3457,11.32,82,100,4.29,RU,1697336564
125,lospalos,-8.5186,127.0025,28.47,53,4,5.68,TL,1697336565
126,den chai,17.9837,100.0522,28.36,91,80,0.58,TH,1697336565
127,rio san juan,19.6439,-70.0763,27.39,83,16,3.16,DO,1697336565
128,talnakh,69.4865,88.3972,1.23,87,97,2.38,RU,1697336565
129,palasa,18.7667,84.4167,26.25,73,0,1.24,IN,1697336566
130,new norfolk,-42.7826,147.0587,13.72,90,97,2.43,AU,1697336566
131,saipan,15.1355,145.701,29.39,84,40,3.09,MP,1697336566
132,de panne,51.0792,2.5917,11,47,20,7.2,BE,1697336566
133,anadyr,64.75,177.4833,1.28,93,75,3,RU,1697336567
134,crane,31.3974,-102.3501,18.17,31,16,4.12,US,1697336567
135,batang,-6.4846,110.7083,31.46,48,100,2.54,ID,1697336567
136,kill devil hills,36.0307,-75.676,19.99,97,100,5.66,US,1697336567
137,margaret river,-33.95,115.0667,21.73,45,0,2,AU,1697336567
138,kununurra,-15.7667,128.7333,35.99,14,4,3.6,AU,1697336568
139,saint-philippe,-21.3585,55.7679,20.77,82,37,4.49,RE,1697336568
140,labytnangi,66.6572,66.4183,-2.43,83,56,3.33,RU,1697336568
141,devils lake,48.1128,-98.8651,7.99,69,100,1.54,US,1697336568
142,sao joao da barra,-21.6403,-41.0511,21.52,89,100,2.99,BR,1697336569
143,cartagena,10.3997,-75.5144,26.79,94,75,7.72,CO,1697335972
144,richlands,37.0932,-81.7937,11.28,100,100,3.09,US,1697336569
145,haiku-pauwela,20.9219,-156.3051,27.01,71,40,5.14,US,1697336569
146,tuam,53.5167,-8.85,4.01,79,24,1.65,IE,1697336569
147,kalabo,-14.97,22.6814,20.43,76,88,4.45,ZM,1697336570
148,bozeman,45.6796,-111.0386,8.29,79,0,2.06,US,1697336336
149,badger,64.8,-147.5333,0.45,84,100,3.09,US,1697336570
150,st. john's,47.5649,-52.7093,12.31,98,100,4.63,CA,1697336570
151,pizarro,4.9533,-77.366,24.93,90,100,0.93,CO,1697336571
152,oulmes,33.4258,-6.0014,13.57,55,15,0.81,MA,1697336571
153,remire-montjoly,4.9167,-52.2667,27.02,83,0,1.54,GF,1697336571
154,vadso,70.0744,29.7487,3.09,87,100,12.86,NO,1697336571
155,tucuma,-0.1833,-50.05,27.44,74,16,5.3,BR,1697336463
156,shumikha,55.2261,63.2961,2.5,81,95,3.17,RU,1697336572
157,jacmel,18.2342,-72.5347,26.91,83,69,1.45,HT,1697336572
158,utrik,11.2278,169.8474,28.26,75,12,4.87,MH,1697336572
159,cidreira,-30.1811,-50.2056,16.9,86,44,8.31,BR,1697336573
160,maile,-38.9466,-72.3727,6.34,99,9,0.88,CL,1697336573
161,rock springs,41.5875,-109.2029,7.69,61,0,3.09,US,1697336350
162,shizuoka,34.9769,138.3831,19.61,84,100,1.95,JP,1697336395
163,sur,22.5667,59.5289,26.38,77,0,3.34,OM,1697336574
164,aljezur,37.3191,-8.8033,19.47,88,100,1.83,PT,1697336574
165,hamilton,39.1834,-84.5333,11.56,89,100,6.17,US,1697336430
166,rafsanjan,30.4067,55.9939,17.19,41,3,3.15,IR,1697336574
167,sao miguel,-5.4667,-35.3667,25.43,74,83,6.19,BR,1697336574
168,bel ombre,-4.6167,55.4167,26.91,89,40,4.63,SC,1697336575
169,phetchaburi,12.9667,99.5833,27.56,78,100,0.8,TH,1697336575
170,mahanoro,-19.9,48.8,22.91,96,28,2.8,MG,1697336575
171,rzhanitsa,53.4284,33.923,15.01,78,41,5.24,RU,1697336575
172,mount isa,-20.7333,139.5,32.87,9,4,2.57,AU,1697336576
173,west island,-12.1568,96.8225,26.99,74,75,5.66,CC,1697336576
174,thunder bay,48.4001,-89.3168,2.95,93,40,2.06,CA,1697336537
175,afaahiti,-17.75,-149.2833,27.93,79,24,3.72,PF,1697336576
176,pervomayskoye,43.919,46.7102,12.32,96,0,3.12,RU,1697336576
177,ciudad lazaro cardenas,17.9583,-102.2,27.09,87,95,2.65,MX,1697336577
178,tolanaro,-25.0319,46.9987,22.04,94,75,2.06,MG,1697336577
179,mahajanga,-15.7167,46.3167,26.01,89,40,0.51,MG,1697336577
180,yokadouma,3.5167,15.05,20.78,99,100,1.22,CM,1697336577
181,taoudenni,22.6783,-3.9836,28.36,17,10,3.48,ML,1697336578
182,pingshan,22.9938,114.7131,26.43,60,70,2.83,CN,1697336578
183,berezovyy,51.6667,135.7,14.93,51,3,2.44,RU,1697336578
184,kidal,18.4411,1.4078,28.43,15,1,2.71,ML,1697336578
185,lata,40.1629,-8.3327,19.34,94,95,0.26,PT,1697336578
186,kiunga,-6.1219,141.2906,24.69,97,100,0.31,PG,1697336579
187,vizinga,61.0749,50.1031,6.3,95,100,4.71,RU,1697336579
188,colonia,50.9333,6.95,8.81,87,40,1.54,DE,1697336443
189,brookings,44.3114,-96.7984,7.28,93,100,3.09,US,1697336432
190,capitao poco,-1.7464,-47.0594,23.45,87,99,2.45,BR,1697336580
191,brokopondo,4.75,-55.1667,27.42,75,66,5.9,SR,1697336580
192,birzebbuga,35.8258,14.5269,21.2,82,0,1.54,MT,1697336580
193,san antonio,29.4241,-98.4936,22.09,36,0,2.57,US,1697336054
194,port alfred,-33.5906,26.891,13.43,97,100,1.32,ZA,1697336580
195,lihue,21.9789,-159.3672,29.58,66,20,7.72,US,1697336581
196,calabugao,8.4564,125.1589,25.01,82,95,0.23,PH,1697336581
197,flying fish cove,-10.4217,105.6791,26.82,83,100,6.17,CX,1697336581
